customerId,accountId,transactionDate,transactionTime
guke_0,zhanghu_51317,"(2015, 3, 21)",160125
guke_0,zhanghu_51317,"(2015, 3, 21)",155406
guke_0,zhanghu_51317,"(2015, 3, 21)",3519
guke_0,zhanghu_51317,"(2015, 3, 21)",3442
guke_1,zhanghu_51318,"(2015, 3, 21)",165927
guke_2,zhanghu_51319,"(2015, 3, 21)",143155
guke_3,zhanghu_51320,"(2015, 3, 21)",202233
guke_3,zhanghu_51320,"(2015, 3, 21)",193954
guke_3,zhanghu_51320,"(2015, 3, 21)",165122
guke_3,zhanghu_51320,"(2015, 3, 21)",161054
guke_3,zhanghu_51320,"(2015, 3, 21)",154352
guke_3,zhanghu_51320,"(2015, 3, 21)",42016
guke_3,zhanghu_51320,"(2015, 3, 21)",3753
guke_3,zhanghu_51320,"(2015, 3, 21)",3744
guke_3,zhanghu_51320,"(2015, 3, 21)",3736
guke_3,zhanghu_51320,"(2015, 3, 21)",3724
guke_4,zhanghu_51321,"(2015, 3, 21)",3525
guke_4,zhanghu_51321,"(2015, 3, 21)",3524
guke_5,zhanghu_51322,"(2015, 3, 21)",235000
guke_6,zhanghu_51323,"(2015, 3, 21)",93646
guke_7,zhanghu_51324,"(2015, 3, 21)",214510
guke_7,zhanghu_51324,"(2015, 3, 21)",211016
guke_8,zhanghu_51325,"(2015, 3, 21)",235000
guke_9,zhanghu_51326,"(2015, 3, 21)",235000
guke_10,zhanghu_51327,"(2015, 3, 21)",143721
